geneID	MH	US	GH	AN
GRMZM2G078798 	0	0	0	0
GRMZM2G103666	0	0	1	0
GRMZM2G079727	0	0	0	0
GRMZM2G079904	0	0	0	0
GRMZM2G171373	1	0	0	0
GRMZM2G035994	0	0	1	0
GRMZM2G137965	0	0	1	0
GRMZM2G466139	1	0	0	0
GRMZM2G169654	0	1	1	1
GRMZM2G055905	0	0	0	0
GRMZM2G327189	0	0	0	0
GRMZM2G069018	1	0	0	0
GRMZM2G045275	0	1	0	0
GRMZM2G120619	0	0	0	0
GRMZM2G429955	0	0	0	0
AC208915.3_FG010	0	0	0	0
GRMZM2G104549	0	0	0	0
GRMZM2G365688	0	0	0	0
GRMZM2G365688	0	0	0	0
GRMZM2G072052	0	0	0	0
GRMZM2G157605	1	0	0	1
GRMZM2G078592	0	0	0	0
GRMZM2G152688	0	0	1	1
GRMZM2G092008	0	0	0	0
GRMZM2G126552	1	1	1	1
GRMZM2G070553	0	0	0	0
GRMZM2G145213	0	0	1	0
AC198403.3_FG001	0	0	0	1
GRMZM2G001048	0	0	0	0
GRMZM2G080168	0	1	0	0
GRMZM2G106798	0	1	1	0
GRMZM2G342217	1	0	0	0
GRMZM2G176173	0	0	0	0
GRMZM2G106766	0	1	0	0
GRMZM2G007734	0	0	0	0
GRMZM2G130442	1	0	0	1
GRMZM2G444073	1	0	0	1
GRMZM2G126253	0	1	0	0
GRMZM2G014902	1	0	0	0
GRMZM2G055520	0	0	0	0
GRMZM2G118205	0	1	1	0
GRMZM2G324643	0	0	0	0
GRMZM2G101511	1	1	1	1
AC233751.1_FG002	0	0	0	0
GRMZM2G145579	1	0	0	0
GRMZM2G157722	0	0	0	0
GRMZM2G147712	1	0	0	0
GRMZM2G419409	0	1	0	1
GRMZM2G091155	0	0	0	0
GRMZM2G160268	1	1	1	0
GRMZM2G156079	0	0	0	0
GRMZM2G139740	0	1	0	0
GRMZM2G060464	1	1	0	0
GRMZM2G104262	0	0	1	1
GRMZM2G055782	0	0	0	0
GRMZM2G019335	0	0	0	0
GRMZM2G067019	1	1	0	1
GRMZM2G020081	0	0	0	0
GRMZM2G360389	1	1	1	0
GRMZM2G162637	0	0	0	0
GRMZM2G459645	0	0	1	1
GRMZM2G078077	0	0	0	0
GRMZM2G048621	0	1	0	1
GRMZM2G072926	0	0	0	0
GRMZM2G098800	1	1	0	0
GRMZM2G084791	0	0	0	1
GRMZM2G114998	0	0	1	0
GRMZM2G000520	1	1	1	0
GRMZM2G003514	0	0	0	0
GRMZM2G170322	0	0	0	0
GRMZM2G178758	0	0	0	0
GRMZM2G178795	0	0	0	0
GRMZM2G176289	0	0	0	0
GRMZM2G361074	0	0	1	0
GRMZM2G172427	0	0	0	0
GRMZM2G015875	0	0	0	0
GRMZM2G042198	0	0	0	0
GRMZM2G124663	1	1	0	0
GRMZM2G449950	0	0	0	0
GRMZM2G167560	0	0	0	0
GRMZM2G085547	0	0	0	0
GRMZM2G075124	0	0	0	0
GRMZM2G107109	0	0	0	0
GRMZM2G140524	0	0	0	0
GRMZM2G171163	0	0	0	0
GRMZM2G027075	0	0	0	0
GRMZM2G126646	0	0	0	0
GRMZM2G126795	0	0	0	0
GRMZM2G370777	0	0	0	0
GRMZM2G089876	0	0	0	0
GRMZM2G032619	0	0	0	0
GRMZM2G131516	0	0	0	0
GRMZM2G174834	0	0	0	0
GRMZM2G146720	0	0	0	1
GRMZM2G171660	0	0	0	0
GRMZM2G140085	0	0	0	0
GRMZM2G140094	0	0	0	0
GRMZM2G055538	1	1	0	0
GRMZM2G012391	1	1	0	0
GRMZM2G132880	0	0	0	0
GRMZM2G328742	1	1	1	1
GRMZM2G091433	0	0	0	0
GRMZM2G011473	0	1	0	0
GRMZM2G363038	0	0	0	0
GRMZM2G140545	0	0	1	1
GRMZM2G002220	0	1	0	1
GRMZM2G174776	0	0	0	0
GRMZM2G083411	1	1	0	0
GRMZM2G460544	0	0	0	1
GRMZM2G098557	0	0	0	0
GRMZM2G003944	0	0	0	0
GRMZM2G106424	1	1	1	0
GRMZM2G106363	0	1	1	1
GRMZM2G458728	1	0	1	0
GRMZM2G116376	0	0	0	0
GRMZM2G091656	1	0	1	0
GRMZM2G126190	0	0	1	1
GRMZM2G180054	0	0	0	0
GRMZM2G051101	1	1	1	0
GRMZM2G125342	1	1	0	0
GRMZM2G040320	0	1	0	1
GRMZM2G168229	0	0	0	0
GRMZM2G163813	0	1	1	0
GRMZM2G036880	0	0	0	0
GRMZM2G166162	0	0	0	0
GRMZM2G065451	1	0	0	0
AC233922.1_FG008	0	0	1	1
GRMZM2G090156	0	1	1	1
GRMZM2G169927	1	1	1	0
GRMZM2G138421	0	0	0	1
GRMZM2G144172	0	0	0	0
GRMZM2G165209	0	0	1	0
GRMZM2G124229	0	0	0	0
GRMZM2G016756	0	0	0	1
GRMZM2G141903	0	0	0	0
GRMZM2G071620	0	1	0	1
GRMZM2G129889	0	0	1	0
GRMZM2G312738	0	0	1	0
GRMZM2G385543	0	0	0	1
GRMZM2G104342	0	0	0	0
GRMZM2G181028	0	0	0	0
GRMZM2G152328	0	0	0	0
GRMZM2G114137	0	0	1	0
GRMZM2G024973	0	0	0	0
GRMZM2G148098	0	0	0	0
GRMZM2G176688	0	1	0	0
GRMZM2G165488	0	0	0	0
GRMZM2G417223	1	1	1	1
GRMZM2G061292	0	0	0	0
GRMZM2G105518	0	0	0	0
GRMZM2G403218	0	0	0	0
GRMZM2G070523	0	0	0	0
GRMZM2G582893	1	1	0	0
GRMZM2G030169	0	1	1	0
GRMZM2G120973	0	1	0	0
GRMZM2G018336	0	0	0	0
GRMZM2G015861	0	0	0	0
GRMZM2G046021	0	0	0	0
GRMZM2G075039	0	0	0	0
GRMZM2G012958	0	1	0	1
GRMZM2G161512	1	1	1	1
GRMZM2G152432	0	0	0	0
GRMZM2G180086	1	1	1	0
GRMZM2G117100	1	1	0	0
GRMZM2G414805	1	0	0	1
GRMZM2G145041	1	1	1	1
GRMZM2G466292	0	0	0	0
GRMZM2G466270	0	0	0	0
AC215811.3_FG003	1	0	1	0
GRMZM2G389155	0	0	0	0
GRMZM2G030013	1	1	0	1
GRMZM2G146354	0	0	0	0
AC192244.3_FG001	0	0	0	0
GRMZM2G096972	0	1	0	0
GRMZM2G097275	0	1	0	0
GRMZM2G147800	0	0	0	0
GRMZM2G425774	1	1	1	1
GRMZM2G130382	0	0	0	0
GRMZM2G092311	0	0	0	0
GRMZM2G126827	0	0	0	0
GRMZM2G148772	0	0	0	1
GRMZM2G148772	0	0	0	1
GRMZM2G060485	0	0	0	0
GRMZM2G045319	0	0	0	0
GRMZM2G052821	0	0	0	0
GRMZM2G137046	0	0	1	1
GRMZM2G143433	0	1	1	0
AC210949.4_FG003	0	0	0	0
AC210949.4_FG003	0	0	0	0
GRMZM2G081075	1	0	1	1
GRMZM2G156621	0	0	0	0
GRMZM2G108016	0	1	0	0
GRMZM2G005301	0	0	0	0
